# time  G0_ode  DG_ode  PDE_offset  PDE_gradient
8.25000000e-01 -3.54704681e+01 5.71210682e+01 -3.95195098e+01 2.48352470e+01
8.35000000e-01 -3.72297591e+01 5.89197890e+01 -4.14672142e+01 2.55802268e+01
8.45000000e-01 -3.76224975e+01 6.17071783e+01 -4.21049137e+01 2.66361921e+01
8.55000000e-01 -3.97265922e+01 6.38859546e+01 -4.44362974e+01 2.75370494e+01
8.65000000e-01 -4.02151331e+01 6.70950441e+01 -4.52159416e+01 2.87550189e+01
8.75000000e-01 -4.20966389e+01 7.00252445e+01 -4.73901634e+01 2.99253181e+01
8.85000000e-01 -4.34485717e+01 7.37683660e+01 -4.90929999e+01 3.13907941e+01
8.95000000e-01 -4.49675495e+01 7.78451499e+01 -5.10026990e+01 3.29852330e+01
9.05000000e-01 -4.66976407e+01 8.23752225e+01 -5.31738981e+01 3.47574778e+01
9.15000000e-01 -4.86842372e+01 8.78565212e+01 -5.56850545e+01 3.69145047e+01
9.25000000e-01 -5.24185050e+01 9.36121025e+01 -6.00011316e+01 3.92229480e+01
9.35000000e-01 -5.39520568e+01 1.01395561e+02 -6.22822702e+01 4.22481504e+01
9.45000000e-01 -5.76217115e+01 1.10784770e+02 -6.68679697e+01 4.59687842e+01
9.55000000e-01 -6.01436365e+01 1.22838945e+02 -7.05653788e+01 5.06900736e+01
9.65000000e-01 -6.97008109e+01 1.37710130e+02 -8.16303987e+01 5.66708355e+01
9.75000000e-01 -7.25957514e+01 1.61789645e+02 -8.68730038e+01 6.61265577e+01
9.85000000e-01 -9.70147038e+01 1.99261285e+02 -1.15064962e+02 8.12206323e+01
9.95000000e-01 -1.28252449e+02 2.00000000e+02 -1.46836020e+02 8.09716599e+01
